calYear,age,isRetired,initBalReg,initBalRoth,initBalBank,initBalHomeEq,initBalTotal,salary,withdrawals,taxRate,taxes,expenses,savings,begYrBalReg,begYrBalRoth,begYrBalBank,begYrBalHomeEq,begYrBalTotal,yieldReg,yieldRoth,yieldBank,yieldHomeEq,inflationRate,raisePerc,endYrBalReg,endYrBalRoth,endYrBalBank,endYrBalHomeEq,endYrBalTotal
2024,45,False,2000000.0,50000.0,500000.0,2500000.0,5050000.0,160000.0,0.0,0.245875,39340.0,110000.0,5000,2000000.0,50000.0,100000,2905000.0,5055000.0,0.0008559725956360642,0.0008559725956360642,0.02905370170695825,0.14399788653687795,0.028115255772514874,0.03286952824987445,2001711.945191272,50042.798629781806,102905.37017069584,3323313.8603896303,5477973.97438138
2025,46,False,2001711.945191272,50042.798629781806,102905.37017069584,3323313.8603896303,5477973.97438138,165259.12451997993,0.0,0.2472792121433123,40865.14611079418,113092.67813497664,5000,2001711.945191272,50042.798629781806,100000,3331219.230560326,5482973.97438138,0.21473705971949703,0.21473705971949703,0.032130729302176864,0.1442964537040437,0.038685575868776356,0.04437508823601631,2431553.682707041,60788.84206767603,103213.07293021769,3811902.352040894,6407457.949745828
2026,47,False,2431553.682707041,60788.84206767603,103213.07293021769,3811902.352040894,6407457.949745828,172592.51275236084,0.0,0.2490944016781897,42991.82869818465,117467.73351517037,5000,2431553.682707041,60788.84206767603,100000,3820115.4249711116,6412457.949745828,0.1667731261828972,0.1667731261828972,0.03596277564181001,0.18592159105038408,0.0467635352558641,0.05292072814847493,2837071.4918536306,70926.78729634077,103596.277564181,4530357.362777855,7541951.919492008
2027,48,False,2837071.4918536306,70926.78729634077,103596.277564181,4530357.362777855,7541951.919492008,181726.23420019072,0.0,0.25115035327137925,45640.6079180553,122960.9400128335,5000,2837071.4918536306,70926.78729634077,100000,4538953.640342036,7546951.919492008,-0.11789994108126683,-0.11789994108126683,0.047624369856083565,-0.04366344181787125,0.046533388520084915,0.050637432760634135,2502580.9301207457,62564.52325301865,104762.43698560836,4340767.302152947,7010675.1925123185
2028,49,False,2502580.9301207457,62564.52325301865,104762.43698560836,4340767.302152947,7010675.1925123185,190928.38416534613,0.0,0.2563448193160868,48943.50214117807,128682.72920724553,5000,2502580.9301207457,62564.52325301865,100000,4350529.739138555,7015675.1925123185,-0.09546942920670705,-0.09546942920670705,0.022782536490158593,0.031199692098845717,0.03324256733103774,0.03768454561901506,2263660.957178528,56591.523929463205,102278.25364901587,4486264.92746655,6908795.662223557
2029,50,False,2263660.957178528,56591.523929463205,102278.25364901587,4486264.92746655,6908795.662223557,198123.43356838997,0.0,0.26047232016343286,51605.67042030429,132960.47349725908,5000,2263660.957178528,56591.523929463205,100000,4493543.181115566,6913795.662223557,-0.15063690789653084,-0.15063690789653084,0.010276064773461577,-0.011519540812044829,0.019492675728610784,0.023253647904734002,1922670.0700630532,48066.75175157633,101027.60647734617,4441779.627050019,6513544.055341994
2030,51,False,1922670.0700630532,48066.75175157633,101027.60647734617,4441779.627050019,6513544.055341994,202730.52613426629,0.0,0.2629613590326879,53310.294669678515,135552.2288918637,5000,1922670.0700630532,48066.75175157633,100000,4447807.233527365,6518544.055341994,0.26935222655114655,0.26935222655114655,0.02381270116656041,0.0011761481534919363,0.029385459154942072,0.032333532096432874,2440545.5343577852,61013.63835894464,102381.27011665603,4453038.5137921665,7056978.956625553
2031,52,False,2440545.5343577852,61013.63835894464,102381.27011665603,4453038.5137921665,7056978.956625553,209285.5201079553,0.0,0.2663138969728697,55735.64243994346,139535.4933773269,5000,2440545.5343577852,61013.63835894464,100000,4460419.783908823,7061978.956625553,-0.11444680470409278,-0.11444680470409278,0.018974914063403958,0.051547841358645166,0.021787716924032523,0.022476341673913512,2161232.896215694,54030.82240539236,101897.49140634038,4690344.795322717,7007506.005350144
2032,53,False,2161232.896215694,54030.82240539236,101897.49140634038,4690344.795322717,7007506.005350144,213989.4929653044,0.0,0.26859315193798616,57476.11239716263,142575.6532078873,5000,2161232.896215694,54030.82240539236,100000,4697242.286729057,7012506.005350144,0.032860047692970594,0.032860047692970594,0.025300545932459773,0.012769163858682729,0.02933523621999375,0.035597581678922935,2232251.1122609586,55806.277806523976,102530.05459324598,4757222.143172234,7147809.587832963
2033,54,False,2232251.1122609586,55806.277806523976,102530.05459324598,4757222.143172234,7147809.587832963,221607.00141956814,0.0,0.27207890607699964,60294.59052524021,146758.14367396059,5000,2232251.1122609586,55806.277806523976,100000,4764752.197765481,7152809.587832963,0.2614626736941873,0.2614626736941873,0.028205369632049428,-0.03177501153421625,0.030629074792413415,0.03671135244185729,2815901.4564295327,70397.53641073832,102820.53696320494,4613352.1417238,7602471.671527276
2034,55,False,2815901.4564295327,70397.53641073832,102820.53696320494,4613352.1417238,7602471.671527276,229742.49415226505,0.0,0.2755464245738622,63304.72283633808,151253.20983294607,5000,2815901.4564295327,70397.53641073832,100000,4621172.678687005,7607471.671527276,0.006139661741761999,0.006139661741761999,0.034472965944008595,0.07318604459513374,0.03287573017564241,0.03730114419876035,2833190.1388701447,70829.75347175362,103447.29659440086,4959378.028431206,7966845.217367506
2035,56,False,2833190.1388701447,70829.75347175362,103447.29659440086,4959378.028431206,7966845.217367506,238312.15205522152,0.0,0.28026730188612564,66791.10386319304,156225.76954761383,5000,2833190.1388701447,70829.75347175362,100000,4967825.325025607,7971845.217367506,0.03825536242065385,0.03825536242065385,0.0,0.05851608835937647,-0.004703216508109648,0.0004345703169739718,2941574.8544392446,73539.37136098112,100000.0,5258523.030698754,8373637.256498979
2036,57,False,2941574.8544392446,73539.37136098112,100000.0,5258523.030698754,8373637.256498979,238415.7154426789,0.0,0.2803279991917892,66834.60048592513,155491.00592928537,5000,2941574.8544392446,73539.37136098112,100000,5263523.030698754,8378637.256498979,-0.0006636643209481061,-0.0006636643209481061,0.0,0.07412155824938105,-0.0011810414958343708,0.005864935589721981,2939622.6361609553,73490.56590402388,100000.0,5653663.55961565,8766776.76168063
2037,58,False,2939622.6361609553,73490.56590402388,100000.0,5653663.55961565,8766776.76168063,239814.0082573277,0.0,0.28114239012982056,67421.88346807763,155307.36459905384,5000,2939622.6361609553,73490.56590402388,100000,5658663.55961565,8771776.76168063,-0.11160842907195281,-0.11160842907195281,0.027509327988907865,0.08226257727736902,0.04367210040440665,0.04543372903463962,2611535.9716746784,65288.39929186696,102750.93279889078,6124159.807975165,8903735.1117406
2038,59,False,2611535.9716746784,65288.39929186696,102750.93279889078,6124159.807975165,8903735.1117406,250709.65292720194,0.0,0.2871770328298079,71998.05422942482,162089.96341936753,5000,2611535.9716746784,65288.39929186696,100000,6131910.740774055,8908735.1117406,0.029710864163949916,0.029710864163949916,0.007481024926013796,0.0035922431988308218,0.015303950037921985,0.01931304420363766,2689126.962188374,67228.17405470934,100748.10249260138,6153938.055428439,9011041.294164123
2039,60,True,2689126.962188374,67228.17405470934,100748.10249260138,6153938.055428439,9011041.294164123,0.0,148113.5221090675,0.0,0.0,148113.5221090675,0,2689126.962188374,19862.75443824321,0,6153938.055428439,8862927.772055056,0.2601054980133851,0.2601054980133851,0.04069427604690217,0.04066023615090342,0.043922527447088355,0.04880702489849119,3388583.669909602,25029.166073320033,0.0,6404158.630020191,9817771.466003112
2040,61,True,3388583.669909602,25029.166073320033,0.0,6404158.630020191,9817771.466003112,0.0,194543.01879594353,0.23552043567839487,39923.97644675555,154619.04234918798,0,3219069.8171869786,0.0,0,6404158.630020191,9623228.44720717,0.28741235553944267,0.28741235553944267,0.04983948830688905,0.06896187114078775,0.04765643567872506,0.04831775246027955,4144270.255990611,0.0,0.0,6845801.392228807,10990071.648219418
2041,62,True,4144270.255990611,0.0,0.0,6845801.392228807,10990071.648219418,0.0,214956.43014919033,0.24641642642101588,52968.7953535822,161987.63479560812,0,3929313.825841421,0.0,0,6845801.392228807,10775115.218070228,0.002211977966853012,0.002211977966853012,0.030316585857702753,0.018975106856696417,0.0363577439192075,0.03909044180005734,3938005.381449033,0.0,0.0,6975701.20516607,10913706.586615102
2042,63,True,3938005.381449033,0.0,0.0,6975701.20516607,10913706.586615102,0.0,223224.68031673282,0.24794543550746906,55347.540577147876,167877.13973958493,0,3714780.7011323003,0.0,0,6975701.20516607,10690481.90629837,0.24836179308765577,0.24836179308765577,0.0,0.016084677538406044,0.01073602002576102,0.013031065612516358,4637390.296992938,0.0,0.0,7087903.109655436,11725293.406648375
2043,64,True,4637390.296992938,0.0,0.0,7087903.109655436,11725293.406648375,0.0,225755.3183381026,0.248392138343443,56075.846264406,169679.4720736966,0,4411634.978654835,0.0,0,7087903.109655436,11499538.088310272,0.19141045829448144,0.19141045829448144,0.025136964113735043,0.03446241818727474,0.03620461013545122,0.039101400908763094,5256068.051747122,0.0,0.0,7332169.390691267,12588237.44243839
2044,65,True,5256068.051747122,0.0,0.0,7332169.390691267,12588237.44243839,0.0,234382.04448018648,0.24984590181362143,58559.39327207252,175822.65120811397,0,5021686.007266935,0.0,0,7332169.390691267,12353855.397958202,-0.15352222415734373,-0.15352222415734373,0.04733485403295501,0.10782426443867868,0.05259982571137326,0.05267169330348477,4250745.602411504,0.0,0.0,8122755.161982348,12373500.764393851
2045,66,True,4250745.602411504,0.0,0.0,8122755.161982348,12373500.764393851,0.0,247668.52591452625,0.25274763382068666,62597.63389675393,185070.89201777233,0,4003077.076496978,0.0,0,8122755.161982348,12125832.238479326,0.19369868156267606,0.19369868156267606,0.025368555019171287,0.0017883931345170218,0.033438883352132964,0.03796972732820757,4778467.828408214,0.0,0.0,8137281.841547401,12915749.669955615
2046,67,True,4778467.828408214,0.0,0.0,8137281.841547401,12915749.669955615,0.0,257256.41816768865,0.2565415574465463,65996.96217985883,191259.45598782983,0,4521211.410240525,0.0,0,8137281.841547401,12658493.251787927,0.1638801553386454,0.1638801553386454,0.02121331673329277,0.07694414105455158,0.025826432271327672,0.027438669309573668,5262148.238469598,0.0,0.0,8763398.003364064,14025546.24183366
2047,68,True,5262148.238469598,0.0,0.0,8763398.003364064,14025546.24183366,0.0,264918.2808100498,0.2593980121936999,68719.27543589931,196199.0053741505,0,4997229.957659548,0.0,0,8763398.003364064,13760627.961023612,-0.01248449511942788,-0.01248449511942788,0.03774246387897781,0.004637894422406107,0.044468331917510644,0.04871673874683244,4934842.064642489,0.0,0.0,8804041.71808519,13738883.78272768
2048,69,True,4934842.064642489,0.0,0.0,8804041.71808519,13738883.78272768,0.0,278469.3161595467,0.26410690163937384,73545.6682925331,204923.64786701364,0,4656372.748482943,0.0,0,8804041.71808519,13460414.466568133,0.09022479499217155,0.09022479499217155,0.03975473999616075,0.1229647859008596,0.03805770851456308,0.046061175324424414,5076493.025121951,0.0,0.0,9886628.82301177,14963121.84813372
2049,70,True,5076493.025121951,0.0,0.0,9886628.82301177,14963121.84813372,0.0,290600.31904726825,0.26798919897029927,77877.7467219908,212722.5723252774,0,4785892.706074682,0.0,0,9886628.82301177,14672521.529086452,0.10977029861617128,0.10977029861617128,0.02237592848767593,0.05279555153276664,0.026540457013229834,0.032164759749896785,5311241.577565456,0.0,0.0,10408598.844522426,15719840.422087882
