calYear,age,isRetired,initBalReg,initBalRoth,initBalBank,initBalHomeEq,initBalTotal,salary,withdrawals,taxRate,taxes,expenses,savings,begYrBalReg,begYrBalRoth,begYrBalBank,begYrBalHomeEq,begYrBalTotal,yieldReg,yieldRoth,yieldBank,yieldHomeEq,inflationRate,raisePerc,endYrBalReg,endYrBalRoth,endYrBalBank,endYrBalHomeEq,endYrBalTotal
2024,45,False,2000000.0,50000.0,500000.0,2500000.0,5050000.0,160000.0,0.0,0.245875,39340.0,110000.0,5000,2000000.0,50000.0,100000,2905000.0,5055000.0,0.12191453010083257,0.12191453010083257,0.053101467034939384,0.10029168308046342,0.04783537001703474,0.05078208586083284,2243829.0602016654,56095.72650504163,105310.14670349394,3196347.3393487465,5601582.272758948
2025,46,False,2243829.0602016654,56095.72650504163,105310.14670349394,3196347.3393487465,5601582.272758948,168125.13373773324,0.0,0.2480074683478721,41696.28878394264,115261.89070187381,5000,2243829.0602016654,56095.72650504163,100000,3206657.4860522402,5606582.272758948,0.12353398731846753,0.12353398731846753,0.001417034298848414,0.08285132120309219,0.010383375682039155,0.014481552921249571,2521018.210869427,63025.45527173567,100141.70342988484,3472333.2954174546,6156518.664988502
2026,47,False,2521018.210869427,63025.45527173567,100141.70342988484,3472333.2954174546,6156518.664988502,170559.8467593484,0.0,0.24860690464877516,42402.355560211035,116458.69821485349,5000,2521018.210869427,63025.45527173567,100000,3477474.9988473393,6161518.664988502,-0.1764545608187194,-0.1764545608187194,0.0,0.0362099422548736,0.005054499436659494,0.007759885710636104,2076173.0496544684,51904.32624136171,100000.0,3603394.1677483683,5831471.543644199
2027,48,False,2076173.0496544684,51904.32624136171,100000.0,3603394.1677483683,5831471.543644199,171883.37167702455,0.0,0.2489256370112054,42786.17778633712,117047.33863937456,5000,2076173.0496544684,51904.32624136171,100000,3608394.1677483683,5836471.543644199,0.03074238633552492,0.03074238633552492,0.0,0.09469850569455582,-0.021909046526724034,-0.0161120276232076,2139999.563646351,53499.98909115878,100000.0,3950103.703391089,6243603.256128599
2028,49,False,2139999.563646351,53499.98909115878,100000.0,3950103.703391089,6243603.256128599,169113.98204459428,0.0,0.2482530083282036,41983.05479293234,114482.94305129528,5000,2139999.563646351,53499.98909115878,100000,3955103.703391089,6248603.256128599,0.17226267449575844,0.17226267449575844,0.03576129520080451,0.12827385118199824,0.03623352078410244,0.045782765379941574,2508641.6118998276,62716.040297495696,103576.12952008046,4462440.087249248,7137373.868966652
2029,50,False,2508641.6118998276,62716.040297495696,103576.12952008046,4462440.087249248,7137373.868966652,176856.4878070096,0.0,0.2500806275893929,44228.38146403278,118631.06314776962,5000,2508641.6118998276,62716.040297495696,100000,4471016.216769328,7142373.868966652,0.12916650702499338,0.12916650702499338,0.05073758867710209,-0.052101623198325585,0.05255503968003637,0.056938931514318135,2832674.0862864777,70816.85215716195,105073.7588677102,4238069.01452961,7246633.71184096
2030,51,False,2832674.0862864777,70816.85215716195,105073.7588677102,4238069.01452961,7246633.71184096,186926.50725411574,0.0,0.2539115954245049,47462.807684022824,124865.72337878554,5000,2832674.0862864777,70816.85215716195,100000,4248142.77339732,7251633.711840959,0.15140595104515628,0.15140595104515628,0.012008963354931748,-0.11099993552931722,0.014807841474153528,0.01683094752980528,3261557.8003216507,81538.94500804128,101200.89633549319,3776599.1994308825,7220896.841096068
2031,52,False,3261557.8003216507,81538.94500804128,101200.89633549319,3776599.1994308825,7220896.841096068,190072.6574896395,0.0,0.2558331319896297,48626.88327116662,126714.7152161341,5000,3261557.8003216507,81538.94500804128,100000,3782800.095766376,7225896.841096068,0.1435897350159463,0.1435897350159463,0.006474129649580403,-0.018959451216097017,0.0030581801005429184,0.007845893223070447,3729884.020609029,93247.10051522574,100647.41296495804,3711080.2818904463,7634858.81597966
2032,53,False,3729884.020609029,93247.10051522574,100647.41296495804,3711080.2818904463,7634858.81597966,191563.94726492846,0.0,0.2567218998677793,49178.660488023525,127102.23163665403,5000,3729884.020609029,93247.10051522574,100000,3716727.6948554046,7639858.81597966,-0.024479026683645103,-0.024479026683645103,0.04767666345261687,0.07802119432786382,0.04544343925928633,0.04934379978750526,3638580.090141639,90964.502253541,104767.66634526169,4006711.228599472,7841023.487339914
2033,54,False,3638580.090141639,90964.502253541,104767.66634526169,4006711.228599472,7841023.487339914,201016.4403252733,0.0,0.26204863062500605,52676.08292035111,132878.19417975406,5000,3638580.090141639,90964.502253541,100000,4016478.8949447335,7846023.487339914,0.1332045112049453,0.1332045112049453,0.004992899417251846,-0.049450470769843,0.003168198829950619,0.006876230745812756,4123255.3725290024,103081.38431322508,100499.28994172519,3817862.1227525775,8144698.169536531
2034,55,False,4123255.3725290024,103081.38431322508,100499.28994172519,3817862.1227525775,8144698.169536531,202398.67575265176,0.0,0.2627858597922882,53187.51002848114,133299.17871908032,5000,4123255.3725290024,103081.38431322508,100000,3823361.412694303,8149698.169536531,0.2936153536727831,0.2936153536727831,0.006394336457717897,-0.1001462039191762,0.013190569233905068,0.0202408419165833,5333906.457017308,133347.6614254327,100639.43364577179,3440466.2810019096,9008359.833090423
2035,56,False,5333906.457017308,133347.6614254327,100639.43364577179,3440466.2810019096,9008359.833090423,206495.395352687,0.0,0.26491291094923863,54703.29628049419,135057.47076479704,5000,5333906.457017308,133347.6614254327,100000,3446105.7146476815,9013359.833090423,0.2663450009697596,0.2663450009697596,0.05574937728230579,0.14233308305846526,0.05342088279115216,0.058814324185040005,6754565.777484191,168864.14443710478,105574.9377282306,3936600.5655588815,10965605.425208408
2036,57,False,6754565.777484191,168864.14443710478,105574.9377282306,3936600.5655588815,10965605.425208408,218640.28247767795,0.0,0.2707502197029248,59196.90451674084,142272.3600805927,5000,6754565.777484191,168864.14443710478,100000,3947175.503287112,10970605.425208407,-0.04251727499266603,-0.04251727499266603,0.0,0.06750649842837993,0.002772078017512364,0.010449289586284164,6467380.046866844,161684.50117167112,100000.0,4213635.500196303,10942700.048234819
2037,58,False,6467380.046866844,161684.50117167112,100000.0,4213635.500196303,10942700.048234819,220924.9181045142,0.0,0.2717765846144424,60042.219698670255,142666.75016247173,5000,6467380.046866844,161684.50117167112,100000,4218635.500196303,10947700.048234819,-0.046069778530928515,-0.046069778530928515,0.03592408750989163,-0.013169897177520533,0.039255906144013836,0.04350007759901505,6169429.280432343,154235.73201080857,103592.40875098917,4163076.5044292803,10590333.92562342
2038,59,False,6169429.280432343,154235.73201080857,103592.40875098917,4163076.5044292803,10590333.92562342,230535.1691856166,0.0,0.2758711949389026,63598.01259867813,148267.2627167212,5000,6169429.280432343,154235.73201080857,100000,4171668.9131802693,10595333.92562342,0.3121759401199649,0.3121759401199649,0.0,0.10201282632219902,-0.0012977352536472087,0.007586967507861399,8095376.666054947,202384.4166513737,100000.0,4597232.649494246,12994993.732200567
2039,60,True,8095376.666054947,202384.4166513737,100000.0,4597232.649494246,12994993.732200567,0.0,133267.36595663874,0.0,0.0,133267.36595663874,0,8095376.666054947,169117.05069473496,0,4597232.649494246,12861726.366243929,0.06491136528116476,0.06491136528116476,0.03891486683404652,0.12213759852693237,0.03682154049821554,0.0425856833692739,8620858.617913859,180094.66934765418,0.0,5158727.605173079,13959680.892434593
2040,61,True,8620858.617913859,180094.66934765418,0.0,5158727.605173079,13959680.892434593,0.0,138174.4756693016,0.0,0.0,138174.4756693016,0,8620858.617913859,41920.193678352574,0,5158727.605173079,13821506.416765291,0.15985735759178818,0.15985735759178818,0.012003415013951777,0.0004065918469864649,0.022025128587297868,0.025299127035324054,9998966.296745963,48621.445069509995,0.0,5160825.101758166,15208412.843573641
2041,62,True,9998966.296745963,48621.445069509995,0.0,5160825.101758166,15208412.843573641,0.0,166664.3108772849,0.21557020358453924,25446.52461388449,141217.78626340043,0,9880923.430938188,0.0,0,5160825.101758166,15041748.532696355,0.07186623119394296,0.07186623119394296,0.031519905563100165,0.1612983544700912,0.0277291717060342,0.03165278492427713,10591028.158635639,0.0,0.0,5993257.698379699,16584285.857015338
2042,63,True,10591028.158635639,0.0,0.0,5993257.698379699,16584285.857015338,0.0,191306.43789147088,0.2413551780783282,46172.79938482659,145133.6385066443,0,10399721.720744168,0.0,0,5993257.698379699,16392979.419123868,0.0742442294409233,0.0742442294409233,0.032565374275963274,0.02793544204235806,0.03229052220700491,0.03539469324654704,11171841.046300853,0.0,0.0,6160682.001457701,17332523.047758553
2043,64,True,11171841.046300853,0.0,0.0,6160682.001457701,17332523.047758553,0.0,197880.71684614534,0.24287681047611415,48060.63736231885,149820.0794838265,0,10973960.329454707,0.0,0,6160682.001457701,17134642.330912407,0.21671210083711812,0.21671210083711812,0.0036584120334904376,0.1265736477819313,0.01326191434632452,0.019697519458105096,13352150.326954028,0.0,0.0,6940461.995206692,20292612.32216072
2044,65,True,13352150.326954028,0.0,0.0,6940461.995206692,20292612.32216072,0.0,200668.46158787026,0.2434935747049311,48861.481042569685,151806.98054530055,0,13151481.865366157,0.0,0,6940461.995206692,20091943.86057285,0.017224167628776328,0.017224167628776328,0.05064760404049158,0.02948077913703699,0.06441541125420207,0.06963010726270455,13378005.193582036,0.0,0.0,7145072.22239638,20523077.415978417
2045,66,True,13378005.193582036,0.0,0.0,7145072.22239638,20523077.415978417,0.0,214392.20824593902,0.24630801207559525,52806.51861755428,161585.68962838475,0,13163612.985336097,0.0,0,7145072.22239638,20308685.207732476,0.14483421530864407,0.14483421530864407,0.02823695178524978,0.08418974254259658,0.03593186880549903,0.03926788853849256,15070154.54269393,0.0,0.0,7746614.01324819,22816768.55594212
2046,67,True,15070154.54269393,0.0,0.0,7746614.01324819,22816768.55594212,0.0,222543.19807442508,0.24782349279901525,55151.43264546711,167391.76542895797,0,14847611.344619505,0.0,0,7746614.01324819,22594225.357867695,-0.08839576973348189,-0.08839576973348189,0.04982966809846802,-0.040950334554902164,0.05511900390496639,0.06019969074882399,13535145.311108287,0.0,0.0,7429387.577737983,20964532.88884627
2047,68,True,13535145.311108287,0.0,0.0,7429387.577737983,20964532.88884627,0.0,235499.3850344517,0.25002677703188864,58881.15223315574,176618.23280129593,0,13299645.926073836,0.0,0,7429387.577737983,20729033.50381182,0.1747332709785652,0.1747332709785652,0.028947159619098158,0.12177526408101227,0.03176767324174053,0.03430856619633465,15623536.561593466,0.0,0.0,8334103.211977219,23957639.773570687
