calYear,age,isRetired,initBalReg,initBalRoth,initBalBank,initBalHomeEq,initBalTotal,salary,withdrawals,taxRate,taxes,expenses,savings,begYrBalReg,begYrBalRoth,begYrBalBank,begYrBalHomeEq,begYrBalTotal,yieldReg,yieldRoth,yieldBank,yieldHomeEq,inflationRate,raisePerc,endYrBalReg,endYrBalRoth,endYrBalBank,endYrBalHomeEq,endYrBalTotal
2024,45,False,2000000.0,50000.0,500000.0,2500000.0,5050000.0,160000.0,0.0,0.245875,39340.0,110000.0,5000,2000000.0,50000.0,100000,2905000.0,5055000.0,0.1797917116061635,0.1797917116061635,0.04541512831791837,0.11137744399870014,0.04760737319007177,0.05258335005921279,2359583.423212327,58989.58558030818,104541.51283179183,3228551.4748162236,5751665.996440651
2025,46,False,2359583.423212327,58989.58558030818,104541.51283179183,3228551.4748162236,5751665.996440651,168413.33600947403,0.0,0.24807932930202842,41779.86744274747,115236.81105090788,5000,2359583.423212327,58989.58558030818,100000,3238092.9876480154,5756665.996440651,-0.09328523733845903,-0.09328523733845903,0.047009718417007795,-0.0022982300185961715,0.04603858179966977,0.052189458985228095,2139469.1235580714,53486.728088951786,104700.97184170077,3230651.105140797,5528307.928629521
2026,47,False,2139469.1235580714,53486.728088951786,104700.97184170077,3230651.105140797,5528307.928629521,177202.7369017059,0.0,0.25015862890472074,44328.79370149471,120542.1504028082,5000,2139469.1235580714,53486.728088951786,100000,3240352.0769824977,5533307.928629521,0.09122481439045388,0.09122481439045388,0.023362002013209086,0.012535734446358426,0.021013981874287005,0.021549608230798177,2334641.7972487635,58366.04493121909,102336.2002013209,3280972.270132256,5776316.31251356
2027,48,False,2334641.7972487635,58366.04493121909,102336.2002013209,3280972.270132256,5776316.31251356,181021.38645936287,0.0,0.2509990833785549,45436.20207321523,123075.22096646037,5000,2334641.7972487635,58366.04493121909,100000,3288308.470333577,5781316.31251356,0.1674835738770961,0.1674835738770961,0.03713170239933838,0.08284666128918125,0.040226576612602795,0.043889536394412836,2725655.949174833,68141.39872937083,103713.17023993382,3560733.8483896484,6458244.366533786
2028,49,False,2725655.949174833,68141.39872937083,103713.17023993382,3560733.8483896484,6458244.366533786,188966.33118853814,0.0,0.2551647282163235,48217.54253975912,128026.11577178072,5000,2725655.949174833,68141.39872937083,100000,3569447.018629582,6463244.366533786,0.09944183086849141,0.09944183086849141,0.04281080313781306,-0.016646075002749908,0.04688617578885387,0.05128552691727611,2996700.1670783744,74917.50417695937,104281.08031378132,3510029.7358391318,6685928.487408247
2029,50,False,2996700.1670783744,74917.50417695937,104281.08031378132,3510029.7358391318,6685928.487408247,198657.5690531668,0.0,0.2607668099261175,51803.30054967171,134028.7707414206,5000,2996700.1670783744,74917.50417695937,100000,3519310.816152913,6690928.487408247,0.08734984584123866,0.08734984584123866,0.00789879639142704,-0.03522597090503526,0.012573748240092449,0.020949243689395672,3258461.464705085,81461.53661762712,100789.8796391427,3395339.675737335,6836052.556699189
2030,51,False,3258461.464705085,81461.53661762712,100789.8796391427,3395339.675737335,6836052.556699189,202819.29487800456,0.0,0.2630082070689945,53343.139104861686,135714.0147616523,5000,3258461.464705085,81461.53661762712,100000,3401129.5553764775,6841052.556699189,0.08670285534918332,0.08670285534918332,0.019778517338620148,0.008065317210996133,0.029595191353984814,0.0345006686203691,3540979.377740298,88524.48444350745,101977.85173386203,3428560.744116283,7160042.458033951
2031,52,False,3540979.377740298,88524.48444350745,101977.85173386203,3428560.744116283,7160042.458033951,209816.6961604075,0.0,0.26657639073960976,55932.17757935077,139730.49699794094,5000,3540979.377740298,88524.48444350745,100000,3435538.595850145,7165042.458033951,-0.002436861462688754,-0.002436861462688754,0.06412472192270235,0.036334391672982004,0.0689082737559922,0.07186191015184154,3532350.5015545073,88308.76253886268,106412.47219227023,3560366.8007994103,7287438.537085051
2032,53,False,3532350.5015545073,88308.76253886268,106412.47219227023,3560366.8007994103,7287438.537085051,224894.52472824295,0.0,0.2735103232227563,61510.97414944989,149359.08433713592,5000,3532350.5015545073,88308.76253886268,100000,3571779.2729916805,7292438.537085051,0.1171206319190926,0.1171206319190926,0.029408845841771454,0.044763390260513514,0.036876661197182324,0.04473643785272821,3946061.6244562943,98651.54061140736,102940.88458417714,3731664.2225130205,7879318.2721649
2033,54,False,3946061.6244562943,98651.54061140736,102940.88458417714,3731664.2225130205,7879318.2721649,234955.50465716684,0.0,0.2782710371115187,65381.311956010075,154866.94868695785,5000,3946061.6244562943,98651.54061140736,100000,3739605.107097198,7884318.2721649,-0.04523497144366249,-0.04523497144366249,0.013079294836239612,0.06588423170732155,0.023807077359201106,0.03125260244565857,3767561.6395590813,94189.04098897704,101307.92948362397,3985986.1164670726,7949044.726498755
2034,55,False,3767561.6395590813,94189.04098897704,101307.92948362397,3985986.1164670726,7949044.726498755,242298.47563663634,0.0,0.28256620099443613,68465.35976738727,158553.8781147317,5000,3767561.6395590813,94189.04098897704,100000,3992294.045950697,7954044.726498755,0.10091396627084195,0.10091396627084195,0.0,-0.03354698241442907,0.012567311861479337,0.011794453493166712,4147761.2277768645,103694.03069442163,100000.0,3858364.627797959,8209819.886269245
2035,56,False,4147761.2277768645,103694.03069442163,100000.0,3858364.627797959,8209819.886269245,245156.25373899782,0.0,0.28416826210987717,69665.62657037909,160546.47414784651,5000,4147761.2277768645,103694.03069442163,100000,3863364.627797959,8214819.886269245,0.3302781902966743,0.3302781902966743,0.0096719641548891,0.057015816353038526,0.023216374371353047,0.0264376830826332,5517676.299869719,137941.907496743,100967.1964154889,4083637.5159213124,9840222.919703264
2036,57,False,5517676.299869719,137941.907496743,100967.1964154889,4083637.5159213124,9840222.919703264,251637.61708107506,0.0,0.28766684414567845,72387.79917405153,164273.7811956637,5000,5517676.299869719,137941.907496743,100000,4089604.7123368015,9845222.919703264,-0.06723396636455774,-0.06723396636455774,0.012849327636235145,-0.05509080749461601,0.01886792278458812,0.0210149811006412,5146701.0371137615,128667.52592784405,101284.93276362351,3864305.0864003804,9240958.582205608
2037,58,False,5146701.0371137615,128667.52592784405,101284.93276362351,3864305.0864003804,9240958.582205608,256925.77684824425,0.0,0.29039058358216435,74608.82627626258,167373.2862147958,5000,5146701.0371137615,128667.52592784405,100000,3870590.019164004,9245958.58220561,-0.11136110772006236,-0.11136110772006236,0.03757421473987871,0.0006033593502178247,0.0391286194410093,0.0490581897461377,4573558.708516779,114338.96771291949,103757.42147398788,3872925.3758429266,8664580.473546613
2038,59,False,4573558.708516779,114338.96771291949,103757.42147398788,3872925.3758429266,8664580.473546613,269530.09035953926,0.0,0.2964516423543675,79902.63795100649,173922.37183568566,5000,4573558.708516779,114338.96771291949,100000,3881682.7973169144,8669580.473546613,0.02573864517678295,0.02573864517678295,0.004406329018954766,-0.05656855121267527,0.009641161777568203,0.013939346530870327,4691275.913310478,117281.89783276197,100440.63290189547,3662101.625205532,8571100.069250667
2039,60,True,4691275.913310478,117281.89783276197,100440.63290189547,3662101.625205532,8571100.069250667,0.0,158039.2670033627,0.0,0.0,158039.2670033627,0,4691275.913310478,59683.26373129473,0,3662101.625205532,8413060.802247304,0.0011408147135685345,0.0011408147135685345,0.055119091585398905,0.015064164503946337,0.05651284288189279,0.061901950241336476,4696627.789897793,59751.35127671318,0.0,3717268.126517798,8473647.267692305
2040,61,True,4696627.789897793,59751.35127671318,0.0,3717268.126517798,8473647.267692305,0.0,197947.72466274857,0.22415356231906375,30977.209394055284,166970.51526869327,0,4558431.416511757,0.0,0,3717268.126517798,8275699.543029555,0.06866901463052447,0.06866901463052447,0.04562469625838862,0.045729515730303545,0.04968687730253954,0.056915522482095686,4871454.4101444455,0.0,0.0,3887256.997783149,8758711.407927595
2041,62,True,4871454.4101444455,0.0,0.0,3887256.997783149,8758711.407927595,0.0,233601.34744282445,0.2497185453226531,58334.58866883379,175266.75877399064,0,4637853.062701621,0.0,0,3887256.997783149,8525110.06048477,0.20583409637826847,0.20583409637826847,0.02359047160164263,0.04040893434456237,0.023505747866886438,0.02949987682758727,5592481.356997995,0.0,0.0,4044336.910587009,9636818.267585004
2042,63,True,5592481.356997995,0.0,0.0,4044336.910587009,9636818.267585004,0.0,239387.48770744493,0.2506436458600272,60000.95269226644,179386.5350151785,0,5353093.869290549,0.0,0,4044336.910587009,9397430.779877558,0.04121984826681789,0.04121984826681789,0.019883551176887504,0.07485785881144125,0.025199674949528645,0.026200253984291617,5573747.586340738,0.0,0.0,4347087.312025632,9920834.89836637
2043,64,True,5573747.586340738,0.0,0.0,4347087.312025632,9920834.89836637,0.0,245866.83395577144,0.25200559006276557,61959.816567888185,183907.01738788324,0,5327880.752384967,0.0,0,4347087.312025632,9674968.064410599,0.09598316400674878,0.09598316400674878,0.05610327829972163,0.04421200641860163,0.06695085128445752,0.06986064654099654,5839267.604449534,0.0,0.0,4539280.76416713,10378548.368616663
