calYear,age,isRetired,initBalReg,initBalRoth,initBalBank,initBalHomeEq,initBalTotal,salary,withdrawals,taxRate,taxes,expenses,savings,begYrBalReg,begYrBalRoth,begYrBalBank,begYrBalHomeEq,begYrBalTotal,yieldReg,yieldRoth,yieldBank,yieldHomeEq,inflationRate,raisePerc,endYrBalReg,endYrBalRoth,endYrBalBank,endYrBalHomeEq,endYrBalTotal
2024,45,False,2000000.0,50000.0,500000.0,2500000.0,5050000.0,160000.0,0.0,0.245875,39340.0,110000.0,5000,2000000.0,50000.0,100000,2905000.0,5055000.0,-0.020084469668148905,-0.020084469668148905,0.038164964453420026,0.06725514365157227,0.04420211360929542,0.05243796471159938,1959831.0606637022,48995.77651659255,103816.49644534201,3100376.1923078173,5213019.525933454
2025,46,False,1959831.0606637022,48995.77651659255,103816.49644534201,3100376.1923078173,5213019.525933454,168390.0743538559,0.0,0.24807353831815482,41773.12156261821,114862.23249702249,5000,1959831.0606637022,48995.77651659255,100000,3109192.6887531593,5218019.525933454,-0.10303232369405073,-0.10303232369405073,0.0033686708809525603,0.10358919672947348,0.008446581074789992,0.016869762590199216,1757905.1124357448,43947.627810893624,100336.86708809526,3431271.461858251,5333461.069192985
2026,47,False,1757905.1124357448,43947.627810893624,100336.86708809526,3431271.461858251,5333461.069192985,171230.77493075145,0.0,0.24876909391518445,42596.92472991792,115832.42565623997,5000,1757905.1124357448,43947.627810893624,100000,3436608.3289463464,5338461.069192985,0.15199607877657595,0.15199607877657595,0.05458622732390264,0.010804793987836993,0.05324820848727702,0.05670505700958401,2025099.7963872738,50627.49490968185,105458.62273239026,3473740.173957497,5654926.087986843
2027,48,False,2025099.7963872738,50627.49490968185,105458.62273239026,3473740.173957497,5654926.087986843,180940.42578499494,0.0,0.2509816326596404,45412.72347764853,122000.29480717044,5000,2025099.7963872738,50627.49490968185,100000,3484198.796689887,5659926.087986843,-0.05637038417743996,-0.05637038417743996,0.017351140072520102,0.042259799824573556,0.025754509516492934,0.03459728600292822,1910944.1428672676,47773.6035716817,101735.11400725202,3631440.3403870217,5691893.200833223
2028,49,False,1910944.1428672676,47773.6035716817,101735.11400725202,3631440.3403870217,5691893.200833223,187200.47344537,0.0,0.25408148974936956,47564.175174786906,125142.35256079664,5000,1910944.1428672676,47773.6035716817,100000,3638175.4543942735,5696893.200833223,0.11201750894913709,0.11201750894913709,0.0,0.0599609130197528,-0.004726469646962411,0.00040199035924008697,2125003.345492203,53125.083637305084,100000.0,3856323.7763658077,6134452.205495316
2029,50,False,2125003.345492203,53125.083637305084,100000.0,3856323.7763658077,6134452.205495316,187275.72623094023,0.0,0.25412806914847835,47592.01870544788,124550.87102986856,5000,2125003.345492203,53125.083637305084,100000,3861323.7763658077,6139452.205495316,0.20150180750477353,0.20150180750477353,0.028494656075216052,0.07051370165211784,0.03469382371609858,0.041104808052723096,2553195.3605625727,63829.88401406434,102849.46560752159,4133600.0091146952,6853474.7192988545
2030,51,False,2553195.3605625727,63829.88401406434,102849.46560752159,4133600.0091146952,6853474.7192988545,194973.65901059736,0.0,0.2587029144853842,50440.25383392102,128872.01699306535,5000,2553195.3605625727,63829.88401406434,100000,4141449.474722217,6858474.7192988545,0.04153216454617272,0.04153216454617272,0.06733320825640142,0.003048087459139044,0.07498466260639702,0.08464113591022,2659235.0903959824,66480.87725989959,106733.32082564013,4154072.9749287753,6986522.263410297
2031,52,False,2659235.0903959824,66480.87725989959,106733.32082564013,4154072.9749287753,6986522.263410297,211476.4509818262,0.0,0.26738810208298397,56546.2868632757,138535.4417066962,5000,2659235.0903959824,66480.87725989959,100000,4165806.2957544154,6991522.263410297,0.013643179602104689,0.013643179602104689,0.0352213918244977,-0.0038523889932342986,0.03852947020267914,0.043079645658122306,2695515.5123384735,67387.88780846186,103522.13918244977,4149757.989432705,7016183.52876209
2032,53,False,2695515.5123384735,67387.88780846186,103522.13918244977,4149757.989432705,7016183.52876209,220586.78155516056,0.0,0.27162601835426103,59917.10917540941,143873.13887994934,5000,2695515.5123384735,67387.88780846186,100000,4158280.128615155,7021183.52876209,0.18267883585421243,0.18267883585421243,0.035770874346004136,-0.020265015682004846,0.02629762318100936,0.03186787680758626,3187929.148159437,79698.22870398595,103577.08743460041,4074012.5165985995,7445216.980896623
2033,54,False,3187929.148159437,79698.22870398595,103577.08743460041,4074012.5165985995,7445216.980896623,227616.41393514234,0.0,0.2746641688758735,62518.07315600267,147656.66047208325,5000,3187929.148159437,79698.22870398595,100000,4082589.6040332,7450216.980896623,0.15336966139020086,0.15336966139020086,0.007911281832611312,-0.05196650113064318,0.010942841606272399,0.013623943393758838,3676860.7621486015,91921.51905371506,100791.12818326113,3870431.706759257,7740005.116144834
