calYear,age,isRetired,initBalReg,initBalRoth,initBalBank,initBalHomeEq,initBalTotal,salary,withdrawals,taxRate,taxes,expenses,savings,begYrBalReg,begYrBalRoth,begYrBalBank,begYrBalHomeEq,begYrBalTotal,yieldReg,yieldRoth,yieldBank,yieldHomeEq,inflationRate,raisePerc,endYrBalReg,endYrBalRoth,endYrBalBank,endYrBalHomeEq,endYrBalTotal
2024,45,False,2000000.0,50000.0,500000.0,2500000.0,5050000.0,160000.0,0.0,0.245875,39340.0,110000.0,5000,2000000.0,50000.0,100000,2905000.0,5055000.0,0.010433375275383471,0.010433375275383471,0.017563260952257343,0.020734474367287505,0.015517261702181165,0.018749454440452343,2020866.7505507672,50521.66876376918,101756.32609522574,2965233.6480369703,5138378.393446732
2025,46,False,2020866.7505507672,50521.66876376918,101756.32609522574,2965233.6480369703,5138378.393446732,162999.91271047236,0.0,0.24668709336955116,40209.974686036985,111706.89878723994,5000,2020866.7505507672,50521.66876376918,100000,2971989.974132196,5143378.393446732,0.2624889816832275,0.2624889816832275,0.038543778169706146,0.025602656443063712,0.044737861286920866,0.046048491633318894,2551322.006020331,63783.05015050827,103854.37781697062,3048080.812392133,5767040.246379942
2026,47,False,2551322.006020331,63783.05015050827,103854.37781697062,3048080.812392133,5767040.246379942,170505.81282715223,0.0,0.24859378702146084,42386.68571987415,116704.4265299756,5000,2551322.006020331,63783.05015050827,100000,3056935.1902091033,5772040.246379942,0.21671784022717822,0.21671784022717822,0.004466114767443455,-0.06484847310357955,0.0038457062237596713,0.00864575706806674,3104239.0008891285,77605.97502222822,100446.61147674434,2858697.6107474426,6140989.198135544
2027,48,False,3104239.0008891285,77605.97502222822,100446.61147674434,2858697.6107474426,6140989.198135544,171979.96466354904,0.0,0.24894870653211407,42814.189752429214,117153.23746942221,5000,3104239.0008891285,77605.97502222822,100000,2864144.222224187,6145989.198135544,0.36147385785415187,0.36147385785415187,0.010148656913421159,-0.033636732702505286,0.018910624016397235,0.024871073612558994,4226340.24824184,105658.506206046,101014.86569134213,2767803.7685998073,7200817.388739035
2028,49,False,4226340.24824184,105658.506206046,101014.86569134213,2767803.7685998073,7200817.388739035,176257.29102458147,0.0,0.24994491939050972,44054.61439712863,119368.67829551015,5000,4226340.24824184,105658.506206046,100000,2773818.634291149,7205817.3887390345,0.29272480517223376,0.29272480517223376,0.02836651541778668,0.022202386643963793,0.03883426518052137,0.0459613268715253,5463494.874000003,136587.37185000008,102836.65154177867,2835404.028089913,8538322.925481694
2029,50,False,5463494.874000003,136587.37185000008,102836.65154177867,2835404.028089913,8538322.925481694,184358.30999085182,0.0,0.25229442979230615,46512.57469661518,124004.27320268634,5000,5463494.874000003,136587.37185000008,100000,2843240.679631692,8543322.925481694,0.13629732650172532,0.13629732650172532,0.017038058721156685,0.10089524548710613,0.02429232676156496,0.028358475961005936,6208154.618682084,155203.86546705212,101703.80587211567,3130110.145982058,9595172.436003309
2030,51,False,6208154.618682084,155203.86546705212,101703.80587211567,3130110.145982058,9595172.436003309,189586.4306929391,0.0,0.2555403315485902,48446.97935638747,127016.62552715636,5000,6208154.618682084,155203.86546705212,100000,3136813.9518541736,9600172.436003309,0.08324923425274205,0.08324923425274205,0.0,0.04828475770907907,-0.004942202936144245,0.004550449191370709,6724978.73680999,168124.4684202498,100000.0,3288274.253497911,10281377.458728151
2031,52,False,6724978.73680999,168124.4684202498,100000.0,3288274.253497911,10281377.458728151,190449.13411318065,0.0,0.2560588151211858,48766.17962187684,126388.88358753691,5000,6724978.73680999,168124.4684202498,100000,3293274.253497911,10286377.458728151,0.08124322130759352,0.08124322130759352,0.030569448277537034,0.05132835150905998,0.03113930459823885,0.03551820611618305,7271337.672613505,181783.44181533766,103056.94482775369,3462312.591997189,11018490.651253786
2032,53,False,7271337.672613505,181783.44181533766,103056.94482775369,3462312.591997189,11018490.651253786,197213.54571326118,0.0,0.25996699024137654,51269.01191390664,130324.54553140058,5000,7271337.672613505,181783.44181533766,100000,3470369.5368249426,11023490.651253786,0.18498442875735585,0.18498442875735585,0.0,-0.01924754169535197,-0.004711487379566143,0.001621426141547473,8616421.918283757,215410.54795709395,100000.0,3403573.454466625,12335405.920707475
2033,54,False,8616421.918283757,215410.54795709395,100000.0,3403573.454466625,12335405.920707475,197533.31291174793,0.0,0.26014511182883404,51387.325777346734,129710.52307988169,5000,8616421.918283757,215410.54795709395,100000,3408573.454466625,12340405.920707475,-0.07130871645535895,-0.07130871645535895,0.03733582081564907,0.024732616905797984,0.04434869745299893,0.046323167159905324,8001995.93085312,200049.89827132804,103733.5820815649,3492876.3959112205,11798655.807117233
2034,55,False,8001995.93085312,200049.89827132804,103733.5820815649,3492876.3959112205,11798655.807117233,206683.68158540872,0.0,0.2650086439647979,54772.96218660123,135463.0158244216,5000,8001995.93085312,200049.89827132804,100000,3501609.977992785,11803655.807117233,0.09434817691043196,0.09434817691043196,0.017094986775588093,-0.11350735658782818,0.031031557968284797,0.03461377656527857,8756969.658573806,218924.24146434522,101709.4986775588,3104151.4855892607,12181754.88430497
2035,56,False,8756969.658573806,218924.24146434522,101709.4986775588,3104151.4855892607,12181754.88430497,213837.78435949524,0.0,0.26852120819060277,57419.980213013245,139666.6442525358,5000,8756969.658573806,218924.24146434522,100000,3110860.9842668194,12186754.88430497,0.01335026746772254,0.01335026746772254,0.00552317297545999,0.10450786261342734,0.019238037609782547,0.022307652472371313,8873877.545722498,221846.93864306252,100552.31729754599,3435970.4166200473,12632247.218283154
2036,57,False,8873877.545722498,221846.93864306252,100552.31729754599,3435970.4166200473,12632247.218283154,218608.00333844873,0.0,0.27073556471578913,59184.96123522604,142353.5564074982,5000,8873877.545722498,221846.93864306252,100000,3441522.7339175935,12637247.218283154,-0.0044541563948989615,-0.0044541563948989615,0.033537349710378,0.05067273952298187,0.04594793242251005,0.0519343913794238,8834351.907304667,220858.79768261674,103353.73497103779,3615914.11897582,12774478.558934141
2037,58,False,8834351.907304667,220858.79768261674,103353.73497103779,3615914.11897582,12774478.558934141,229961.27694250213,0.0,0.27563628673263235,63385.672468725796,148894.4079974139,5000,8834351.907304667,220858.79768261674,100000,3624267.8539468576,12779478.558934141,0.014190927589958414,0.014190927589958414,0.006308208179915842,0.04798194217733649,0.013218822966588835,0.01908715724248928,8959719.555525437,223992.98888813602,100630.82081799157,3798167.264550115,13082510.629781678
