calYear,age,isRetired,initBalReg,initBalRoth,initBalBank,initBalHomeEq,initBalTotal,salary,withdrawals,taxRate,taxes,expenses,savings,begYrBalReg,begYrBalRoth,begYrBalBank,begYrBalHomeEq,begYrBalTotal,yieldReg,yieldRoth,yieldBank,yieldHomeEq,inflationRate,raisePerc,endYrBalReg,endYrBalRoth,endYrBalBank,endYrBalHomeEq,endYrBalTotal
2024,45,False,2000000.0,50000.0,500000.0,2500000.0,5050000.0,160000.0,0.0,0.245875,39340.0,110000.0,5000,2000000.0,50000.0,100000,2905000.0,5055000.0,0.1459895071628115,0.1459895071628115,0.01257990642295297,0.04289447702029026,0.019377690059626057,0.02348600098961552,2291979.014325623,57299.475358140575,101257.9906422953,3029608.4557439433,5480144.936070003
2025,46,False,2291979.014325623,57299.475358140575,101257.9906422953,3029608.4557439433,5480144.936070003,163757.7601583385,0.0,0.2468875392947874,40429.750445918165,112131.54590655887,5000,2291979.014325623,57299.475358140575,100000,3035866.4463862386,5485144.936070003,-0.14769129094997177,-0.14769129094997177,0.028506527464730917,0.13706384606209684,0.031230210104445214,0.03444085902105132,1953473.6748696277,48836.8418717407,102850.65274647309,3451973.977658807,5557135.147146648
2026,47,False,1953473.6748696277,48836.8418717407,102850.65274647309,3451973.977658807,5557135.147146648,169397.71808955495,0.0,0.24832293327429825,42065.33824597094,115633.43764455695,5000,1953473.6748696277,48836.8418717407,100000,3459824.63040528,5562135.147146648,0.06436616058118046,0.06436616058118046,0.0008356518744827186,0.028569809384929718,0.016191008162950975,0.024547470490411262,2079211.275117395,51980.281877934875,100083.56518744827,3558671.160601244,5789946.282784022
2027,48,False,2079211.275117395,51980.281877934875,100083.56518744827,3558671.160601244,5789946.282784022,173556.0035755013,0.0,0.24932148785087274,43271.24103689537,117505.65957737007,5000,2079211.275117395,51980.281877934875,100000,3563754.725788692,5794946.282784022,0.1703844749301369,0.1703844749301369,0.032554215852900914,0.0583954454820524,0.038223410032297095,0.04546014255200223,2433476.596497093,60836.91491242732,103255.42158529008,3771861.770589892,6369430.703584703
2028,49,False,2433476.596497093,60836.91491242732,103255.42158529008,3771861.770589892,6369430.703584703,181445.8842387994,0.0,0.2510903271263602,45559.306429251825,121997.12658451141,5000,2433476.596497093,60836.91491242732,100000,3780117.192175182,6374430.703584703,0.05903266652886647,0.05903266652886647,0.046823767503074536,0.027436312783365537,0.050430327966080296,0.059331416446210095,2577131.208923907,64428.28022309767,104682.37675030745,3883829.6698174775,6630071.53571479
2029,50,False,2577131.208923907,64428.28022309767,104682.37675030745,3883829.6698174775,6630071.53571479,192211.32555902246,0.0,0.2571034267263478,49418.19045683831,128149.48168908773,5000,2577131.208923907,64428.28022309767,100000,3893512.046567785,6635071.53571479,0.2319152094754746,0.2319152094754746,0.025057105916595115,0.03382640105171106,0.02886605053841598,0.031944321678624925,3174807.133087278,79370.17832718194,102505.71059165952,4025215.5465546553,7381898.568560774
2030,51,False,3174807.133087278,79370.17832718194,102505.71059165952,4025215.5465546553,7381898.568560774,198351.38597295474,0.0,0.26059819323390665,51690.01280999326,131848.65110399673,5000,3174807.133087278,79370.17832718194,100000,4032721.2571463147,7386898.568560774,-0.05945024240907482,-0.05945024240907482,0.04834707293343182,0.030674784373610927,0.05569667640756204,0.058547103080173545,2986064.0794231794,74651.60198557949,104834.70729334319,4156424.1121481545,7321974.5008502565
2031,52,False,2986064.0794231794,74651.60198557949,104834.70729334319,4156424.1121481545,7321974.5008502565,209964.28501360863,0.0,0.2666490896363944,55986.785455035184,139192.1827593096,5000,2986064.0794231794,74651.60198557949,100000,4166258.819441498,7326974.5008502565,0.026619191482021815,0.026619191482021815,0.050282168629744876,0.01957305139068607,0.06070687501433019,0.0670996133619916,3065550.690930932,76638.7672732733,105028.21686297447,4247805.217421325,7495022.892488505
2032,53,False,3065550.690930932,76638.7672732733,105028.21686297447,4247805.217421325,7495022.892488505,224052.8073578488,0.0,0.27314783262080905,61199.53872240406,147642.1052010508,5000,3065550.690930932,76638.7672732733,100000,4257833.4342843,7500022.892488505,0.3537734680619419,0.3537734680619419,0.04846213470662898,0.13579000759380955,0.05164301277756175,0.059222313124531155,4150061.19038125,103751.52975953126,104846.2134706629,4836004.668658941,9194663.602270385
2033,54,False,4150061.19038125,103751.52975953126,104846.2134706629,4836004.668658941,9194663.602270385,237321.73287162557,0.0,0.27968415282888165,66375.12780608275,155266.7883264548,5000,4150061.19038125,103751.52975953126,100000,4845850.882129604,9199663.602270385,-0.15421529073732465,-0.15421529073732465,0.005452140496691942,-0.03977462834430317,0.006819620242460321,0.013050764841571466,3510058.297328918,87751.45743322295,100545.21404966919,4653108.964280985,8351463.933092795
2034,55,False,3510058.297328918,87751.45743322295,100545.21404966919,4653108.964280985,8351463.933092795,240418.9629991274,0.0,0.2814917908945441,67675.96445963351,156325.64885910772,5000,3510058.297328918,87751.45743322295,100000,4658654.178330654,8356463.933092795,0.004352847003154801,0.004352847003154801,0.030187728940806645,0.05389991131806295,0.03182731925601002,0.03361339864552706,3525337.0440693446,88133.42610173362,103018.77289408066,4909755.2254042,8626244.468469359
2035,56,False,3525337.0440693446,88133.42610173362,103018.77289408066,4909755.2254042,8626244.468469359,248500.2614443613,0.0,0.28599611683927423,71070.10980663175,161301.07519324947,5000,3525337.0440693446,88133.42610173362,100000,4917773.998298281,8631244.468469359,0.2209172207416973,0.2209172207416973,0.010698989375336166,0.031097860657803882,0.016399490353779946,0.019611983988606474,4304144.706022895,107603.61765057239,101069.89893753362,5070706.248843932,9583524.471454933
2036,57,False,4304144.706022895,107603.61765057239,101069.89893753362,5070706.248843932,9583524.471454933,253373.84459297263,0.0,0.28857364834363974,73117.0147290485,163946.3306199355,5000,4304144.706022895,107603.61765057239,100000,5076776.147781465,9588524.471454933,0.01843022958427936,0.01843022958427936,0.0,0.05769262077154686,-0.005845278922359816,-0.0016263222296441513,4383471.0811188575,109586.77702797145,100000.0,5369668.668817456,9962726.526964284
2037,58,False,4383471.0811188575,109586.77702797145,100000.0,5369668.668817456,9962726.526964284,252961.77707710065,0.0,0.28835955856741774,72943.94637238227,162988.01858916454,5000,4383471.0811188575,109586.77702797145,100000,5374668.668817456,9967726.526964284,0.15565658062472193,0.15565658062472193,0.0,0.058792987877637454,-0.00021656457320566938,0.006335159563589352,5065787.200873172,126644.6800218293,100000.0,5690661.4987095585,10983093.37960456
2038,59,False,5065787.200873172,126644.6800218293,100000.0,5690661.4987095585,10983093.37960456,254564.3302983732,0.0,0.28918827173874173,73617.01872531675,162952.72115848114,5000,5065787.200873172,126644.6800218293,100000,5695661.4987095585,10988093.37960456,-0.009608554944985775,-0.009608554944985775,0.015691129406136296,0.02298527864750943,0.02669970526573604,0.035919921589024004,5017112.306213976,125427.80765534942,101569.11294061363,5826577.8653392885,11070687.092149228
2039,60,True,5017112.306213976,125427.80765534942,101569.11294061363,5826577.8653392885,11070687.092149228,0.0,150573.15970709606,0.0,0.0,150573.15970709606,0,5017112.306213976,76423.760888867,0,5826577.8653392885,10920113.932442132,0.1398112984134402,0.1398112984134402,0.04712463933040839,-0.0417644267887678,0.050506513058114474,0.05430702633747662,5718561.2920318,87108.66612837776,0.0,5583234.180653271,11388904.13881345
2040,61,True,5718561.2920318,87108.66612837776,0.0,5583234.180653271,11388904.13881345,0.0,175843.7738389732,0.19908342177872618,17665.688874929172,158178.08496404404,0,5629826.184321205,0.0,0,5583234.180653271,11213060.364974476,0.020231984104634605,0.020231984104634605,0.04979219056327673,0.0015284163474637569,0.05401836914216464,0.055483366633487984,5743728.738194247,0.0,0.0,5591767.6870467,11335496.425240947
2041,62,True,5743728.738194247,0.0,0.0,5591767.6870467,11335496.425240947,0.0,221603.69612279325,0.24765421306217986,54881.088974960796,166722.60714783246,0,5522125.042071453,0.0,0,5591767.6870467,11113892.729118153,0.013250058936300498,0.013250058936300498,0.04656387308548976,0.05007600368554139,0.04710954394748022,0.05415084767683096,5595293.524332521,0.0,0.0,5871781.066351942,11467074.590684462
2042,63,True,5595293.524332521,0.0,0.0,5871781.066351942,11467074.590684462,0.0,232632.43261825523,0.24955935347682776,58055.599481953475,174576.83313630175,0,5362661.091714266,0.0,0,5871781.066351942,11234442.158066208,-0.08795429190868866,-0.08795429190868866,0.046150098252754186,-0.06924271096580686,0.04483571813600066,0.04809127463808613,4890992.032646262,0.0,0.0,5465203.027120037,10356195.0597663
