calYear,age,isRetired,initBalReg,initBalRoth,initBalBank,initBalHomeEq,initBalTotal,salary,withdrawals,taxRate,taxes,expenses,savings,begYrBalReg,begYrBalRoth,begYrBalBank,begYrBalHomeEq,begYrBalTotal,yieldReg,yieldRoth,yieldBank,yieldHomeEq,inflationRate,raisePerc,endYrBalReg,endYrBalRoth,endYrBalBank,endYrBalHomeEq,endYrBalTotal
2024,45,False,2000000.0,50000.0,500000.0,2500000.0,5050000.0,160000.0,0.0,0.245875,39340.0,110000.0,5000,2000000.0,50000.0,100000,2905000.0,5055000.0,-0.046533929709972305,-0.046533929709972305,0.03921249737424022,-0.01258878094016036,0.04178758895729803,0.04903787773135797,1906932.1405800555,47673.303514501386,103921.24973742402,2868429.591368834,4926956.285200815
2025,46,False,1906932.1405800555,47673.303514501386,103921.24973742402,2868429.591368834,4926956.285200815,167846.0604370173,0.0,0.24793764845229002,41615.35752673502,114596.63478530278,5000,1906932.1405800555,47673.303514501386,100000,2877350.841106258,4931956.285200815,0.13023674499990368,0.13023674499990368,0.018644135374654838,0.11552397299752196,0.02116123560601537,0.024444291860882844,2155284.7755049006,53882.11938762251,101864.41353746549,3209753.841978614,5520785.150408603
2026,47,False,2155284.7755049006,53882.11938762251,101864.41353746549,3209753.841978614,5520785.150408603,171948.93852603913,0.0,0.2489412993152565,42805.192172551346,117021.64117365106,5000,2155284.7755049006,53882.11938762251,100000,3216618.2555160797,5525785.150408603,0.15705154426808388,0.15705154426808388,0.02885675840896372,0.044344723069253765,0.04385818053771027,0.050640103512722426,2493775.577835436,62344.38944588589,102885.67584089637,3359258.3012764463,6018263.944398665
2027,48,False,2493775.577835436,62344.38944588589,102885.67584089637,3359258.3012764463,6018263.944398665,180656.4505719005,0.0,0.25092029939894034,45330.37066585114,122153.9974390642,5000,2493775.577835436,62344.38944588589,100000,3367143.977117343,6023263.944398665,0.08950242014853241,0.08950242014853241,0.0,-0.021319989759089664,-0.025494715266709135,-0.02214298572743586,2716974.5273590125,67924.36318397529,100000.0,3295356.5020078206,6180255.392550808
2028,49,False,2716974.5273590125,67924.36318397529,100000.0,3295356.5020078206,6180255.392550808,176656.17736531768,0.0,0.25003536301252455,44170.29143594213,119039.71605566495,5000,2716974.5273590125,67924.36318397529,100000,3300356.5020078206,6185255.392550808,0.15250530706796656,0.15250530706796656,0.01791646017490127,0.09121529150439342,0.01993908302278164,0.026509870285852385,3131327.561949742,78283.18904874353,101791.64601749013,3601399.482406884,6912801.879422859
2029,50,False,3131327.561949742,78283.18904874353,101791.64601749013,3601399.482406884,6912801.879422859,181339.30971246678,0.0,0.2510674596082096,45528.39981661536,121413.2588371072,5000,3131327.561949742,78283.18904874353,100000,3608191.128424374,6917801.879422859,-0.018996498887470344,-0.018996498887470344,0.029459250128575257,-0.03663590836814392,0.03129356004080083,0.03708991047580076,3071843.3014028585,76796.08253507144,102945.92501285754,3476001.768868669,6727587.077819456
2030,51,False,3071843.3014028585,76796.08253507144,102945.92501285754,3476001.768868669,6727587.077819456,188065.16847544568,0.0,0.25461446542221766,47884.112335914906,125212.71194227552,5000,3071843.3014028585,76796.08253507144,100000,3483947.6938815266,6732587.077819456,0.10418453960902012,0.10418453960902012,0.02292114081796947,0.026169987217509717,0.03109056335200332,0.03514297211374097,3391881.881510568,84797.04703776418,102292.11408179694,3575122.5604968783,7154093.603127006
2031,52,False,3391881.881510568,84797.04703776418,102292.11408179694,3575122.5604968783,7154093.603127006,194674.3374467443,0.0,0.2585317896307914,50329.50485529539,129105.64569539299,5000,3391881.881510568,84797.04703776418,100000,3582414.674578675,7159093.603127006,0.1351470271281012,0.1351470271281012,0.051164609404833486,-0.06153177190926746,0.056442786611955204,0.06120712259753655,3850284.6341663916,96257.11585415977,105116.46094048335,3361982.351938087,7413640.562899122
2032,53,False,3850284.6341663916,96257.11585415977,105116.46094048335,3361982.351938087,7413640.562899122,206589.79348544136,0.0,0.26496092893122897,54738.2235896133,136392.72810577674,5000,3850284.6341663916,96257.11585415977,100000,3372098.8128785705,7418640.562899122,-0.048080156820130435,-0.048080156820130435,0.018850752469507757,0.01298756272296453,0.018521249072590007,0.025435617720427448,3665162.345153533,91629.0586288383,101885.07524695079,3415894.157718865,7274570.636748187
2033,54,False,3665162.345153533,91629.0586288383,101885.07524695079,3415894.157718865,7274570.636748187,211844.5324974791,0.0,0.26756639105019986,56682.47702406726,138918.89179471385,5000,3665162.345153533,91629.0586288383,100000,3422779.232965816,7279570.636748187,-0.14170305125367086,-0.14170305125367086,0.042166930458864944,0.029056403875689148,0.0437412694853876,0.053562211171586604,3145797.6575052175,78644.94143763042,104216.6930458865,3522232.8887361917,6850892.180724926
