calYear,age,isRetired,initBalReg,initBalRoth,initBalBank,initBalHomeEq,initBalTotal,salary,withdrawals,taxRate,taxes,expenses,savings,begYrBalReg,begYrBalRoth,begYrBalBank,begYrBalHomeEq,begYrBalTotal,yieldReg,yieldRoth,yieldBank,yieldHomeEq,inflationRate,raisePerc,endYrBalReg,endYrBalRoth,endYrBalBank,endYrBalHomeEq,endYrBalTotal
2024,45,False,2000000.0,50000.0,500000.0,2500000.0,5050000.0,160000.0,0.0,0.245875,39340.0,110000.0,5000,2000000.0,50000.0,100000,2905000.0,5055000.0,-0.12700700358112071,-0.12700700358112071,0.0197918424602897,0.0395804453511395,0.024984258579872215,0.03373334925939693,1745985.9928377585,43649.64982094397,101979.18424602896,3019981.1937450604,4911596.020649792
2025,46,False,1745985.9928377585,43649.64982094397,101979.18424602896,3019981.1937450604,4911596.020649792,165397.3358815035,0.0,0.24731491101490274,40905.22740563602,112748.26844378596,5000,1745985.9928377585,43649.64982094397,100000,3026960.377991089,4916596.020649792,-0.09132167657811409,-0.09132167657811409,0.040203565035668194,0.0664355248620975,0.037368745616788504,0.04228011054897597,1586539.6246899113,39663.490617247786,104020.35650356683,3228058.0794397006,4958281.551250426
2026,47,False,1586539.6246899113,39663.490617247786,104020.35650356683,3228058.0794397006,4958281.551250426,172390.3535270796,0.0,0.24904643238120053,42933.202522853084,116961.52980599519,5000,1586539.6246899113,39663.490617247786,100000,3237078.4359432673,4963281.551250426,0.024074831823439002,0.024074831823439002,0.025503064706229563,0.15512197000488787,0.034396331016726386,0.0396128374122123,1624735.2993355428,40618.382483388574,102550.30647062295,3739220.419987128,5507124.408276683
2027,48,False,1624735.2993355428,40618.382483388574,102550.30647062295,3739220.419987128,5507124.408276683,179219.2245727816,0.0,0.2506069046619889,44913.57512610666,120984.5773014249,5000,1624735.2993355428,40618.382483388574,100000,3746770.726457751,5512124.408276683,0.24217774846359144,0.24217774846359144,0.05468354325800265,-0.10013121826214608,0.05142182531322139,0.06128105619582402,2018210.0359779438,50455.2508994486,105468.35432580026,3371602.00906859,5545735.650271783
2028,49,False,2018210.0359779438,50455.2508994486,105468.35432580026,3371602.00906859,5545735.650271783,190201.9679451982,0.0,0.255910749323833,48674.72813972334,127205.82510101271,5000,2018210.0359779438,50455.2508994486,100000,3382070.3633943903,5550735.650271783,0.07050128155834325,0.07050128155834325,0.01007298162011419,0.09225978288471136,0.01662213985566718,0.02567862203934849,2160496.429968299,54012.410749207476,101007.29816201142,3694099.4408219736,6009615.579701491
2029,50,False,2160496.429968299,54012.410749207476,101007.29816201142,3694099.4408219736,6009615.579701491,195086.09239120324,0.0,0.2587670579997814,50481.8541847452,129320.2581162973,5000,2160496.429968299,54012.410749207476,100000,3700106.738983985,6014615.579701491,0.0991030560551752,0.0991030560551752,0.03338494734244843,-0.011853315086244556,0.03262640921989786,0.03535823285037394,2374608.228774453,59365.20571936133,103338.49473424483,3656248.207954071,6193560.1371821305
2030,51,False,2374608.228774453,59365.20571936133,103338.49473424483,3656248.207954071,6193560.1371821305,201983.99187184096,0.0,0.26256574345867634,53034.07699258116,133539.5137780224,5000,2374608.228774453,59365.20571936133,100000,3664586.702688316,6198560.1371821305,0.14889878861637984,0.14889878861637984,0.026329700204921907,-0.015278600094694235,0.029605099625787213,0.03609044321051602,2728184.517477456,68204.6129369364,102632.97002049218,3608596.947945607,6507619.048380491
2031,52,False,2728184.517477456,68204.6129369364,102632.97002049218,3608596.947945607,6507619.048380491,209273.68365992498,0.0,0.26630803252231633,55731.26295417224,137492.96438739996,5000,2728184.517477456,68204.6129369364,100000,3616229.917966099,6512619.048380491,0.003229427512337524,0.003229427512337524,0.0,0.11984718364487323,-0.0029715472561339593,0.0028927330943089294,2736994.991616931,68424.87479042327,100000.0,4049624.8890466667,6955044.755454021
2032,53,False,2736994.991616931,68424.87479042327,100000.0,4049624.8890466667,6955044.755454021,209879.056570416,0.0,0.2666071205264853,55955.25093105392,137084.39754633687,5000,2736994.991616931,68424.87479042327,100000,4054624.8890466667,6960044.755454021,0.037490135825600554,0.037490135825600554,0.022909300298064747,0.030660286393103225,0.030248975181294845,0.03388804803407639,2839605.305606638,70990.13264016596,102290.93002980648,4178940.8493614416,7191827.217638052
2033,54,False,2839605.305606638,70990.13264016596,102290.93002980648,4178940.8493614416,7191827.217638052,216991.4481208209,0.0,0.2699960588865353,58586.83580470372,141231.06008545877,5000,2839605.305606638,70990.13264016596,100000,4186231.7793912482,7196827.217638052,0.03322985915553109,0.03322985915553109,0.030447668263792544,0.10997957449129428,0.03181233080124053,0.03830715528531659,2933964.9899692456,73349.12474923115,103044.76682637926,4646631.769210632,7756990.650755487
2034,55,False,2933964.9899692456,73349.12474923115,103044.76682637926,4646631.769210632,7756990.650755487,225303.77321957092,0.0,0.27368558994858844,61662.39609124125,145723.94928830725,5000,2933964.9899692456,73349.12474923115,100000,4654676.536037011,7761990.650755487,0.04295246640672617,0.04295246640672617,0.043641292908322096,0.014658257488661265,0.04989177268487292,0.055585492723344475,3059986.0226394106,76499.65056598527,104364.1292908322,4722905.983228671,7963755.785724899
2035,56,False,3059986.0226394106,76499.65056598527,104364.1292908322,4722905.983228671,7963755.785724899,237827.39446640946,0.0,0.27998248824652,66587.50567589197,152994.37544094143,5000,3059986.0226394106,76499.65056598527,100000,4732270.112519504,7968755.785724899,-0.03554858033080135,-0.03554858033080135,0.002622019940866723,0.09909250554788004,0.006932806475264702,0.01635356554574981,2951207.8637024844,73780.1965925621,100262.20199408666,5201202.614898409,8326452.877187542
2036,57,False,2951207.8637024844,73780.1965925621,100262.20199408666,5201202.614898409,8326452.877187542,241716.7203503908,0.0,0.28223543016913116,68221.02254716413,154055.05583767747,5000,2951207.8637024844,73780.1965925621,100000,5206464.816892495,8331452.877187542,0.04159962718228349,0.04159962718228349,0.00920501352977074,-0.017007320765242397,0.010078771870161866,0.01446328566950352,3073977.0105699305,76849.42526424826,100920.50135297708,5117916.7996986555,8369663.736885811
2037,58,False,3073977.0105699305,76849.42526424826,100920.50135297708,5117916.7996986555,8369663.736885811,245212.73832791398,0.0,0.28419955085910287,69689.35009772387,155607.74160091046,5000,3073977.0105699305,76849.42526424826,100000,5123837.3010516325,8374663.736885811,-0.016704144951811994,-0.016704144951811994,0.0,0.07721288500611263,0.007605383309849542,0.014441005185524783,3022628.853006833,75565.72132517082,100000.0,5519463.561367763,8717658.135699768
2038,59,False,3022628.853006833,75565.72132517082,100000.0,5519463.561367763,8717658.135699768,248753.85675366412,0.0,0.28613272881643675,71176.61983653893,156791.1981217654,5000,3022628.853006833,75565.72132517082,100000,5524463.561367763,8722658.135699768,0.33723997517977106,0.33723997517977106,0.03495324691747309,-0.018753371810538592,0.04144802999348396,0.04951804657411494,4041980.1323725167,101049.50330931292,103495.32469174732,5420861.242147662,9667386.202521238
2039,60,True,4041980.1323725167,101049.50330931292,103495.32469174732,5420861.242147662,9667386.202521238,0.0,146960.89596380756,0.0,0.0,146960.89596380756,0,4041980.1323725167,57583.93203725267,0,5420861.242147662,9520425.306557432,0.26168091815426786,0.26168091815426786,0.042692663608329906,0.11968968552364076,0.05026564685406895,0.05435474266002543,5099689.204573066,72652.5482436939,0.0,6069682.419487608,11242024.172304368
2040,61,True,5099689.204573066,72652.5482436939,0.0,6069682.419487608,11242024.172304368,0.0,175843.40387699904,0.20830744433113757,21495.42341531716,154347.98046168187,0,4996498.348939761,0.0,0,6069682.419487608,11066180.768427368,0.06541701654047336,0.06541701654047336,0.016142260020139836,0.04280079094750916,0.020742271046499755,0.028431427251059266,5323354.364076801,0.0,0.0,6329469.627841868,11652823.991918668
2041,62,True,5323354.364076801,0.0,0.0,6329469.627841868,11652823.991918668,0.0,208727.010074543,0.24518868903630628,51177.5019666451,157549.5081078979,0,5114627.354002258,0.0,0,6329469.627841868,11444096.981844127,-0.02560178445852545,-0.02560178445852545,0.06407460516352231,0.050373465571094844,0.06875209623629586,0.07249033575393697,4983683.766899413,0.0,0.0,6648306.948223251,11631990.715122664
2042,63,True,4983683.766899413,0.0,0.0,6648306.948223251,11631990.715122664,0.0,223932.64517915063,0.24807137022561104,55551.27812783747,168381.36705131317,0,4759751.121720263,0.0,0,6648306.948223251,11408058.069943514,0.030300387834793448,0.030300387834793448,0.014949656491583967,0.02495143776075448,0.023481410440888556,0.02821070481294741,4903973.42670548,0.0,0.0,6814191.765256235,11718165.191961715
2043,64,True,4903973.42670548,0.0,0.0,6814191.765256235,11718165.191961715,0.0,229484.48299886793,0.24903332552339452,57149.28395722497,172335.19904164295,0,4674488.943706612,0.0,0,6814191.765256235,11488680.708962847,0.024521173721952623,0.024521173721952623,0.009847344218898367,-0.004524467872158586,0.022819014361382985,0.027683216911153167,4789112.899156589,0.0,0.0,6783361.173539606,11572474.072696194
2044,65,True,4789112.899156589,0.0,0.0,6783361.173539606,11572474.072696194,0.0,235007.10792454908,0.24994728891290333,58739.38950100312,176267.71842354597,0,4554105.79123204,0.0,0,6783361.173539606,11337466.964771647,0.12314684532549294,0.12314684532549294,0.05300037612437396,-0.04278666152458344,0.05826929986549828,0.06418865320238366,5114929.552700824,0.0,0.0,6493123.795008366,11608053.34770919
2045,66,True,5114929.552700824,0.0,0.0,6493123.795008366,11608053.34770919,0.0,249941.42032820033,0.25367026113547275,63402.705363225534,186538.7149649748,0,4864988.132372623,0.0,0,6493123.795008366,11358111.92738099,0.13614032130828796,0.13614032130828796,0.049708248005297925,0.06233742665261878,0.05554256732268428,0.05531336568491877,5527309.17987484,0.0,0.0,6897888.423326074,12425197.603200914
2046,67,True,5527309.17987484,0.0,0.0,6897888.423326074,12425197.603200914,0.0,266005.5378846661,0.25979152289462837,69105.98378546217,196899.55409920393,0,5261303.641990174,0.0,0,6897888.423326074,12159192.065316249,0.3344678824152612,0.3344678824152612,0.020799645734120017,0.010820479524018017,0.022689662303220882,0.027132255336769735,7021040.729870329,0.0,0.0,6972526.883769635,13993567.613639964
2047,68,True,7021040.729870329,0.0,0.0,6972526.883769635,13993567.613639964,0.0,272942.7193653574,0.26223663720510404,71575.58087598775,201367.13848936965,0,6748098.010504971,0.0,0,6972526.883769635,13720624.894274607,0.12119007719192199,0.12119007719192199,0.015075948438459271,-0.02883427273826946,0.02400461976669778,0.026677174299266394,7565900.529296725,0.0,0.0,6771479.141928106,14337379.67122483
