calYear,age,isRetired,initBalReg,initBalRoth,initBalBank,initBalHomeEq,initBalTotal,salary,withdrawals,taxRate,taxes,expenses,savings,begYrBalReg,begYrBalRoth,begYrBalBank,begYrBalHomeEq,begYrBalTotal,yieldReg,yieldRoth,yieldBank,yieldHomeEq,inflationRate,raisePerc,endYrBalReg,endYrBalRoth,endYrBalBank,endYrBalHomeEq,endYrBalTotal
2024,45,False,2000000.0,50000.0,500000.0,2500000.0,5050000.0,160000.0,0.0,0.245875,39340.0,110000.0,5000,2000000.0,50000.0,100000,2905000.0,5055000.0,0.0032000824737220324,0.0032000824737220324,0.03977835807019879,0.012780083578307507,0.053184449406804,0.06128777334055706,2006400.1649474439,50160.0041236861,103977.83580701987,2942126.142794983,5102664.147673133
2025,46,False,2006400.1649474439,50160.0041236861,103977.83580701987,2942126.142794983,5102664.147673133,169806.04373448913,0.0,0.2484231524112351,42183.75268300185,115850.28943474845,5000,2006400.1649474439,50160.0041236861,100000,2951103.978602003,5107664.147673133,0.07780426810681305,0.07780426810681305,0.05497494608284627,0.01605692828394842,0.05782426733000276,0.06351892669120852,2162506.6613105685,54062.66653276422,105497.49460828464,2998489.64354489,5320556.465996508
2026,47,False,2162506.6613105685,54062.66653276422,105497.49460828464,2998489.64354489,5320556.465996508,180591.9413781843,0.0,0.2509063397507013,45311.66299967345,122549.24754128154,5000,2162506.6613105685,54062.66653276422,100000,3008987.1381531744,5325556.465996508,0.13490461338082904,0.13490461338082904,0.012023404463657877,0.04072208184968104,0.009786706497744498,0.013543010199308907,2454238.786388138,61355.969659703456,101202.34044636578,3131519.3586776853,5748316.455171892
2027,48,False,2454238.786388138,61355.969659703456,101202.34044636578,3131519.3586776853,5748316.455171892,183037.69988218203,0.0,0.25144518853783737,46023.94895640735,123748.60105848752,5000,2454238.786388138,61355.969659703456,100000,3137721.6991240513,5753316.455171892,0.2759511501638123,0.2759511501638123,0.045171382952623046,0.05196123886290305,0.05249102960115816,0.05886978809528791,3131488.8022685833,78287.22005671459,104517.1382952623,3300761.6058175503,6615054.76643811
2028,49,False,3131488.8022685833,78287.22005671459,104517.1382952623,3300761.6058175503,6615054.76643811,193813.090487695,0.0,0.2580364585003214,50010.843480447154,130244.29253975052,5000,3131488.8022685833,78287.22005671459,100000,3310278.7441128124,6620054.76643811,0.1790369370758403,0.1790369370758403,0.017464401310414997,-0.04468955041821809,0.02151320279058673,0.02465464631036645,3692140.965914042,92303.52414785106,101746.4401310415,3162343.875279427,7048534.805472362
2029,50,False,3692140.965914042,92303.52414785106,101746.4401310415,3162343.875279427,7048534.805472362,198591.4836839882,0.0,0.2607304603528192,51778.84896307563,133046.26441747465,5000,3692140.965914042,92303.52414785106,100000,3169090.3154104687,7053534.805472362,0.10597684658034706,0.10597684658034706,0.0485973786639985,0.12339884043686791,0.05193200100486005,0.05827793181850243,4083422.422611729,102085.56056529323,104859.73786639985,3560152.385571829,7850520.106615251
2030,51,False,4083422.422611729,102085.56056529323,104859.73786639985,3560152.385571829,7850520.106615251,210164.9846298589,0.0,0.2667477858492085,56061.044313047794,139955.62315489582,5000,4083422.422611729,102085.56056529323,100000,3570012.123438229,7855520.106615251,0.1325699104320992,0.1325699104320992,0.04001410250412948,0.09459254148527474,0.042995577261237775,0.04771392591222766,4624761.367433791,115619.0341858448,104001.41025041294,3907708.6433274937,8752090.455197543
2031,52,False,4624761.367433791,115619.0341858448,104001.41025041294,3907708.6433274937,8752090.455197543,220192.78113583245,0.0,0.2714499935553577,59771.32902025801,145973.09596339683,5000,4624761.367433791,115619.0341858448,100000,3916710.0535779065,8757090.455197543,0.004353165453877929,0.004353165453877929,0.010773975199122923,0.09206739010706413,0.017434914659831605,0.019823282895137868,4644893.718850933,116122.34297127335,101077.3975199123,4277311.326016923,9139404.785359044
2032,53,False,4644893.718850933,116122.34297127335,101077.3975199123,4277311.326016923,9139404.785359044,224557.72492775525,0.0,0.27336560451446806,61386.358223269446,148518.12443415006,5000,4644893.718850933,116122.34297127335,100000,4283388.723536836,9144404.785359044,0.002412019865199348,0.002412019865199348,0.048557192854850134,0.07912791226590343,0.05629159330126621,0.05633467340814661,4656097.294772541,116402.43236931355,104855.719285485,4622324.330653619,9499679.777080959
2033,54,False,4656097.294772541,116402.43236931355,104855.719285485,4622324.330653619,9499679.777080959,237208.1110228368,0.0,0.27961694203283755,66327.40662959145,156878.44629266407,5000,4656097.294772541,116402.43236931355,100000,4632180.049939104,9504679.777080959,-0.3726613673791807,-0.3726613673791807,0.02690226397368031,0.07554932864887487,0.032366993889225565,0.03207950236028625,2920949.7102521015,73023.74275630256,102690.22639736802,4982138.1428927155,8078801.822298488
